layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,rmse,n_points,porosity,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,oc,texture_lab,bd
KSSL_209719,KSSL_34631.0,clay loam,0.1485119215626358,1.4116346697083042,0.1986247893249991,0.6882305303340326,33.3,27.5,39.2,,58.5,40.369999,-110.41,0.023310509883207,7,0.6037735849056604,0.1683245725318068,0.6804617317431204,0.2373850333985468,10.9999999971815,0.0284307593588428,0.018771047670684,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.4,cl,1.05
KSSL_15830442,KSSL_53333.0,loam,0.7145342642184535,1.3066698087506157,0.2054302812793658,0.5880117688872457,23.5,49.6,26.9,,29.5,45.304317,-123.36994,0.0098812589303259,7,0.6188679245283019,0.2113689997342717,0.5880154202980351,0.5589870955422237,1.0100016698178973,0.3321359348392292,0.0098902364599228,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",3.8,l,1.01
KSSL_15920592,KSSL_70254.0,sandy loam,0.1038280501290164,2.381180465368571,0.0810000009999999,0.4816838963262355,70.7,14.3,15.0,,38.0,,,0.0230163034459558,7,0.3773584905660377,0.0810000009999999,0.4699048541467553,0.1690788888000901,10.999999999999991,0.0812943825372623,0.016602966031159,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.4,fsl,1.65
KSSL_15830326,KSSL_53313.0,sandy loam,0.1045890271752793,1.8150072528710917,0.083570000999999,0.4877936733060484,69.1,17.0,13.9,,83.0,36.091282,-106.05673,0.0156128948375259,7,0.4603773584905659,0.0835700009999999,0.4760893125606374,0.1708438231870978,8.696930851220841,0.0729942150633734,0.0073284947730453,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.1,fsl,1.4300000000000002
KSSL_15830327,KSSL_53313.0,sandy loam,0.1658885832933514,1.5106180555603843,0.0408483980617009,0.4442530135688954,73.0,14.7,12.3,,119.0,36.091282,-106.05673,0.0281362099756458,7,0.4641509433962264,0.029464330169391,0.4410794359127205,0.2570972390087214,10.999999998456964,0.037609243987113,0.0266371998198769,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.0,sl,1.42
KSSL_203582,KSSL_33604.0,sandy loam,0.2717523830631517,1.7706433450699803,0.113220001,0.3994674970512908,67.1,18.9,14.0,,24.0,42.766674,-116.90002,0.011655449371497,7,0.4188679245283019,0.113220001,0.3979278470242748,0.3268480275845642,10.999999995260854,0.0659692597298856,0.0099103622476998,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.9,cosl,1.54
KSSL_15920604,KSSL_70257.0,sandy loam,0.1131191160260476,1.798004332278785,0.0988200009999999,0.4373170202822822,64.1,28.1,7.8,,6.5,,,0.0133855228006206,7,0.3735849056603773,0.0883157507677307,0.4298247230517256,0.190256266621525,10.999999999992204,0.0520833565269023,0.0053398329019218,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.7,fsl,1.66
KSSL_15830436,KSSL_53332.0,silty clay loam,0.2146611168868279,1.448113601029236,0.226803100995463,0.5162093772962405,16.8,54.2,29.0,,27.5,45.304829,-123.3695,0.0218512248917931,7,0.539622641509434,0.2280901722395965,0.5127041512216932,0.2786554206256946,10.999999998674308,0.0384206458547643,0.0202270576081936,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.2,sicl,1.22
KSSL_209490,KSSL_34596.0,clay loam,0.202759791707746,1.4674044097257473,0.2058506820473277,0.5234676854889327,24.9,39.9,35.2,,99.0,47.015278,-112.01373,0.0242939438984344,7,0.4566037735849056,0.2125000009999782,0.5174019244852234,0.2485137008040299,10.999999999809583,0.0428488227451841,0.0211850376478085,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.1,cl,1.44
KSSL_15748320,KSSL_40732.0,clay loam,0.1150570504166045,1.5521375234939525,0.1211077528746443,0.5039446599393291,42.2,30.8,27.0,,190.5,33.690861,-102.79214,0.0207645143364303,7,0.3886792452830189,0.0872970886016791,0.4935289611495955,0.1976227951532696,10.999999999997886,0.0334178026749295,0.0158309293361461,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.0,cl,1.62
