layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,bd,lat,lon,source_db,rse_alpha,rse_n,oc,sample_type,sample_type_source,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
614567,137287,loamy sand,0.269170012389552,1.986374234,0.045609226,0.516423032,85.4,8.1,6.5,,3.5,1.348837209,32.5963593,-106.7631912,WOSIS,0.4663132174935112,0.1939202124373415,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.045609226,0.516423032,0.269170012389552,1.986374234,0.4965701916167726,
614574,137287,sandy clay loam,0.0474212364059082,1.798620393,0.098857973,0.389230415,66.10000000000001,12.1,21.800000000000004,,118.5,1.56196944,32.5963593,-106.7631912,WOSIS,0.2032231490239961,0.1821050191990276,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.1049505958209296,0.410405182236656,0.0264977699356071,1.1676095777723337,0.98,0.0049563603509676
614590,137288,sandy clay loam,0.0282160842897421,1.758586818,0.090497713,0.412794852,50.0,24.6,25.4,,115.5,1.650082919,32.6023064,-106.7612534,WOSIS,0.0590913444244824,0.0659703356458799,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0848352186978881,0.4097343760012306,0.0333481187855387,2.0641785603230254,0.321680936799838,0.0026282140706326
615465,137531,silt loam,0.1707656755364982,1.292436407,2.92e-20,0.468561381,2.8,77.6,19.6,,16.5,1.105769231,41.8133316,-91.9888916,WOSIS,0.1947483545488603,0.0860402275425302,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),2.92e-20,0.468561381,0.1707656755364982,1.292436407,0.2262675404500579,
615470,137532,silt loam,0.0626622083994024,1.397976688,0.023884583,0.448558329,3.2,80.2,16.6,,10.5,1.157024793,41.8133316,-91.9888916,WOSIS,0.2582272746781365,0.2831432478276215,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.023884583,0.448558329,0.0626622083994024,1.397976688,0.2846804896077065,
615475,137533,silt loam,0.0265116480143576,1.740237986,0.1036193,0.487236093,1.3,80.3,18.4,,7.5,1.049204052,41.8133316,-91.9888916,WOSIS,0.0901110741939435,0.1225543956345952,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.1036193,0.487236093,0.0265116480143576,1.740237986,0.425365951068258,
615476,137533,silt loam,0.316313433945333,1.287596545,0.0,0.512635308,1.7000000000000002,79.2,19.1,,22.5,0.976965846,41.8133316,-91.9888916,WOSIS,0.3750271093807287,0.1411271022049308,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.512635308,0.316313433945333,1.287596545,0.2233592083768755,
615477,137533,silt loam,0.3285113707535193,1.233026636,0.0,0.468204935,2.4,74.9,22.699999999999996,,38.0,1.113801453,41.8133316,-91.9888916,WOSIS,0.2732942972079658,0.110814426381712,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.468204935,0.3285113707535193,1.233026636,0.1889875118642611,
615481,137534,silt loam,0.2243949621940214,1.391886531,0.059816471,0.631991059,3.8,76.7,19.5,,6.0,1.060315021,41.8133316,-91.9888916,WOSIS,0.2307437724923591,0.1822344667415987,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.059816471,0.631991059,0.2243949621940214,1.391886531,0.2815506309400446,
615482,137534,silt loam,0.3547919716722836,1.33548945,0.043878864,0.616462056,3.2,77.1,19.7,,17.5,1.105845182,41.8133316,-91.9888916,WOSIS,0.0409435909286486,0.0257490898745102,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.043878864,0.616462056,0.3547919716722836,1.33548945,0.2512108575623716,
615484,137534,silty clay loam,1.875662630969801,1.1411461,0.0,0.492852574,1.4,63.8,34.8,,53.5,1.06943336,41.8133316,-91.9888916,WOSIS,,,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.492852574,1.875662630969801,1.1411461,0.1236880185630919,
620207,138454,silty clay,0.3980601085997767,1.275025074,0.10659162,0.584143535,5.6,53.900000000000006,40.5,,16.0,0.911743253,40.2471123,-93.7144699,WOSIS,3.064381678374061,0.4294430114397496,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.10659162,0.584143535,0.3980601085997767,1.275025074,0.2157016984279322,
620208,138454,silty clay loam,0.133114971167524,1.439275972,0.122639674,0.480956473,15.7,53.7,30.6,,31.0,1.091617934,40.2471123,-93.7144699,WOSIS,0.1545506602585581,0.1695568884883146,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.122639674,0.480956473,0.133114971167524,1.439275972,0.3052062151705259,
620209,138454,silt loam,0.1434813319533174,1.370816909,0.074277146,0.462774406,24.2,53.29999999999999,22.5,,47.5,1.230769231,40.2471123,-93.7144699,WOSIS,0.6104722423130479,0.2076879185679205,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.074277146,0.462774406,0.1434813319533174,1.370816909,0.2705079770795269,
620210,138454,silt loam,0.3643786163470706,1.291174905,0.0415471,0.554180016,25.7,50.7,23.6,,69.0,1.289795918,40.2471123,-93.7144699,WOSIS,0.125140374594719,0.1250871430695581,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0415471,0.554180016,0.3643786163470706,1.291174905,0.2255115893845536,
620211,138454,clay loam,0.0887856263861767,1.251781644,0.037634513,0.437605215,25.5,41.9,32.6,,94.0,1.219702893,40.2471123,-93.7144699,WOSIS,0.208905346669465,0.2764320301284552,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.037634513,0.437605215,0.0887856263861767,1.251781644,0.2011386292544165,
620213,138454,clay loam,0.4207765862960338,1.148036467,1.17e-19,0.497526028,27.3,33.1,39.6,,156.0,1.061007958,40.2471123,-93.7144699,WOSIS,0.2245898763624895,0.0779206990936901,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),1.17e-19,0.497526028,0.4207765862960338,1.148036467,0.128947530200711,
620214,138454,clay,2.238788677071171,1.125429873,0.0,0.645943931,23.7,28.000000000000004,48.3,,191.0,1.078838174,40.2471123,-93.7144699,WOSIS,,,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.645943931,2.238788677071171,1.125429873,0.1114506341169425,
620216,138455,silt loam,0.0774798027868844,1.838460769,0.061950705,0.430919111,21.9,70.0,8.1,,17.0,1.185372005,36.787693,-89.9393311,WOSIS,0.0457850086247311,0.0574048205706807,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.061950705,0.430919111,0.0774798027868844,1.838460769,0.4560667179512712,
620217,138455,silt loam,0.0439797727052561,2.379458955,0.068092266,0.447312925,21.1,70.5,8.4,,34.5,1.321622752,36.787693,-89.9393311,WOSIS,0.1015582591669124,0.1371225235186501,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.068092266,0.447312925,0.0439797727052561,2.379458955,0.5797363943182622,
620218,138455,silt loam,0.0328112834658114,2.820155094,0.065615837,0.399663329,22.8,69.0,8.2,,48.0,1.311747613,36.787693,-89.9393311,WOSIS,0.0657322983918019,0.1601624723964319,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.065615837,0.399663329,0.0328112834658114,2.820155094,0.6454095726410428,
620258,138461,sandy loam,0.216609126766021,1.232175115,0.0,0.331997664,61.0,26.200000000000003,12.8,,66.0,1.474414571,34.8649445,-86.1021652,WOSIS,0.3567139930460723,0.1261165564621342,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.331997664,0.216609126766021,1.232175115,0.1884270443166675,
620719,138549,silty clay loam,0.0799410509195291,1.522289888,0.104304888,0.509683239,5.3,61.7,33.0,,15.0,1.015792986,42.4448013,-95.7678986,WOSIS,0.2299838605179628,0.250243426118179,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.104304888,0.509683239,0.0799410509195291,1.522289888,0.3430948941572421,
