layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,soil,county,horizon,saturation_point,pdf_page
NJ26_S58NJ-3-3_23-30,NJ26_S58NJ-3-3,sand,0.40452225715390194,1.9330822554086142,0.04743000099999999,0.4214797081836104,89.30000000000001,3.1000000000000005,7.600000000000001,3.302,67.31,,,SSIR26_NewJersey,0.07,0.12068000000000001,0.415,1.53,0.019047673939793137,9,0.04743000099999999,0.4151430991126619,0.6550276179700667,10.999999999979169,0.06301079910338019,0.015347612164719226,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Burlington,B2t,True,21
NJ26_S58NJ-3-3_30-38,NJ26_S58NJ-3-3,sand,0.3391045033329949,2.1926991161461373,0.03576000099999999,0.3989215098504857,91.8,2.8,5.4,9.652,86.36,,,SSIR26_NewJersey,0.05,0.0862,0.39399999999999996,1.49,0.013842610678191163,9,0.03576000099999999,0.3941249787736007,0.6017388339200662,10.999999999999295,0.07137516849948156,0.010412560349077683,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Burlington,B3,True,21
NJ26_S58NJ-3-3_38-42,NJ26_S58NJ-3-3,sand,0.3601547377709855,1.7443833074767383,0.030200000999999997,0.3726635230353999,91.2,4.5,4.3,3.048,101.6,,,SSIR26_NewJersey,0.05,0.0862,0.366,1.51,0.014547186351053875,9,0.030200000999966434,0.3658342236865159,0.5285792938453389,3.9670655350893083,0.15291169990493894,0.012071359617461648,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Burlington,C1,True,21
NJ26_S58NJ-3-3_42-48,NJ26_S58NJ-3-3,loamy sand,0.5008010561872841,1.5975837579437102,0.05390000099999872,0.36990923458888214,83.19999999999999,8.399999999999999,8.399999999999999,3.302,114.30000000000001,,,SSIR26_NewJersey,0.09,0.15516,0.365,1.54,0.01089873402268607,9,0.053900000999999996,0.36502905808269875,0.7276543631512968,10.999999962342756,0.04660031383184113,0.0073297752325635224,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Burlington,IIC2,True,21
NJ26_S58NJ-3-3_52-60,NJ26_S58NJ-3-3,sand,0.3582162319450341,2.063330311726825,0.026180000999999994,0.366450960441849,94.3,2.7,3.0,18.288,142.24,,,SSIR26_NewJersey,0.06,0.10343999999999999,0.36200000000000004,1.54,0.010496313719546626,9,0.026180000999999994,0.36202879298234336,0.6204122546094745,10.999999914554193,0.0673774377561673,0.007129701719661309,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Burlington,IVC4,True,21
NJ26_S59NJ-13-2_9-21,NJ26_S59NJ-13-2,sandy loam,1.1960109461595303,1.2529064901998288,0.0650222679107108,0.3995102566135795,77.8,7.5,14.7,8.89,38.1,,,SSIR26_NewJersey,0.22,0.37928,0.396,1.5,0.020768552395254273,9,0.07485676975706394,0.3960009293442846,1.2015394453408246,10.999216330472514,0.024522943931459075,0.01952992223321612,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B21t,True,23
NJ26_S59NJ-13-2_21-27,NJ26_S59NJ-13-2,sandy loam,2.2787909327597986,1.157532348279288,2.225215109441151e-19,0.46077839299809986,75.10000000000001,9.600000000000001,15.300000000000002,12.192,60.96,,,SSIR26_NewJersey,0.14,0.24136000000000002,0.462,1.34,0.02500345097321349,9,3.0776823132449715e-13,0.46035469520385297,2.0566919804255916,1.0100000000000051,0.15870136098201043,0.024838373072815445,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B22t,True,23
NJ26_S59NJ-13-2_27-37,NJ26_S59NJ-13-2,sandy loam,1.6910936306146163,1.1490230497242446,3.5081460543918205e-25,0.4560117117259918,72.9,10.0,17.1,9.652,81.28,,,SSIR26_NewJersey,0.11,0.18964,0.45799999999999996,1.37,0.02969637655837943,9,2.096212407478794e-14,0.45537194871718656,1.49549431810843,1.0100000000000022,0.15071415816857617,0.029512237874410728,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B23t,True,23
NJ26_S59NJ-13-2_37-66,NJ26_S59NJ-13-2,sandy loam,1.7206567535327801,1.1960041220317792,0.015862954883241593,0.4322152583112185,76.9,9.1,14.0,13.208,130.81,,,SSIR26_NewJersey,0.09,0.15516,0.43,1.38,0.020225244296423982,9,0.025325038863103274,0.4300000889575057,1.7491225750378085,9.591212019852172,0.021271772722372878,0.019430929563325792,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,C1,True,23
NJ26_S58NJ-8-4_0-8,NJ26_S58NJ-8-4,sandy loam,1.0973263725770286,1.231955541465331,1.9459409737141915e-20,0.40397491380315426,68.6,24.800000000000004,6.6000000000000005,7.62,10.16,,,SSIR26_NewJersey,1.46,2.5170399999999997,0.405,1.49,0.016905178981269035,9,5.16067153991343e-18,0.4038312311965506,0.9136063008406867,1.01,0.23839399686813662,0.016592480449731616,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Gloucester,Ap,True,25
