layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
sDB_P_20_0,sDB_P_20,silt loam,0.1191695249311887,1.2724343618851717,1.0026146163871765e-17,0.4412784412461782,11.4,70.6,18.0,0.2729166666666666,15.0,0.0108253762586716,24,0.0398267955845672,0.4442315564398034,0.0698342797653853,1.01,0.3788517488902361,0.0098306193734584,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_20_1,sDB_P_20,silt loam,0.2815150422816915,1.2031250939425495,0.0071010001323999,0.4317404680015318,11.8,69.7,18.5,0.0249999999999999,60.0,0.0077272441440815,30,0.0344583550429342,0.4334493141340095,0.2151397555822177,1.029813960968369,0.236777425932457,0.0076444949573454,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_21_1,sDB_P_21,silt loam,0.1225653863996256,1.3624229264790817,0.0600072654133089,0.4197030728655327,15.7,69.3,15.0,1.4125,60.0,0.0167948392522284,18,0.1097204698551852,0.4216780444280806,0.036943112444485,1.01,0.8245663304609356,0.0145211558092173,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_21_2,sDB_P_21,silt loam,0.0690011776420094,1.4755357297387095,0.0842080033527717,0.4150247387678913,13.0,72.0,15.0,280.875,60.0,0.0145706110379607,18,0.1128000009979601,0.4188389072354602,0.0212465986652708,1.0100000000000011,0.9799999999999972,0.0122920799360633,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_21_3,sDB_P_21,silt loam,0.4144087126902873,1.109721189821557,6.115842576972065e-20,0.3748344787008619,9.0,67.0,24.0,,60.0,0.0222982653526273,18,4.597249773637183e-13,0.3760972209123929,0.3987220295585811,1.010000001022149,0.1100568839319053,0.0222891427137708,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_21_4,sDB_P_21,silt loam,0.1920690114233342,1.2100784645755511,2.8219792209133505e-17,0.4166706203605911,9.10910910910911,74.07407407407408,16.816816816816818,,60.0,0.0109108695621466,16,2.5608138333824376e-19,0.4195371250394827,0.1600820396949915,1.01,0.2184973452990961,0.0099870956502433,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_22_0,sDB_P_22,clay loam,0.0270084810690561,1.4432335229186852,0.1568988453914764,0.4735753214201862,22.722722722722725,44.24424424424425,33.033033033033036,70.53333333333333,15.0,0.0074467267189644,9,0.2019851009934236,0.475366274450911,0.0086828340247716,1.07886676493833,0.98,0.0060300651815361,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_22_1,sDB_P_22,clay loam,0.179234305364837,1.6020969355044794,0.2266000009999999,0.4570436843071828,23.823823823823822,43.74374374374374,32.43243243243243,7.8375,15.0,0.0271286969662842,18,0.2266000009999999,0.4657641390476534,0.0943025621693491,1.01,0.790302251131907,0.0258406882696138,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_22_2,sDB_P_22,loam,0.2685962259874709,1.2565101634861229,0.1671768779011552,0.4689606636546409,35.5,48.900000000000006,15.6,9.658333333333331,60.0,0.0223643378715883,18,0.1975719207631261,0.4712543476405047,0.1598086989811235,1.0100000000403957,0.3639830866442535,0.0221902397044613,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_22_3,sDB_P_22,silt loam,0.0700467365600737,1.2210476661627283,0.0927653271458799,0.4691620204048025,30.899999999999995,55.4,13.699999999999998,6.166666666666667,60.0,0.0070787530759944,18,0.1512789105904409,0.4705736443040363,0.0404495926972021,1.010000005170823,0.3432052365446194,0.0068516434426959,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
