layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,sample_type,sample_type_source,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
UNSODA_2190,UNSODA_P219,sand,0.4212820858670498,1.986508581831533,2.298584830653057e-12,0.3759290606427265,92.0,5.0,3.0,,,0.0157960248937481,disturbed,UNSODA lab comment: packed or disturbed samples,0.0236079450699597,0.387626625410738,0.2741327375836332,1.5809807447492148,0.9799999999999996,0.0152536583977333
UNSODA_2192,UNSODA_P219,sand,0.8812133233814674,3.035562791921434,0.0854156100042629,0.3867402371808665,92.0,5.0,3.0,,,0.0067351000245888,disturbed,UNSODA lab comment: packed or disturbed samples,0.0899363026771869,0.3947348743770791,0.7522785482535667,2.591576554221114,0.98,0.0060849090328133
UNSODA_2200,UNSODA_P220,sand,0.3601934008945706,3.3643708450916443,0.0049185830428203,0.3763741186928186,97.2,0.8,2.0,,,0.003462898155556,unknown,no preparation stated in UNSODA or GSHP,5.473379453435208e-18,0.3761300211447551,0.3778988278966881,3.4552963126282705,0.6147055474771539,0.0034529952614237
UNSODA_2201,UNSODA_P220,sand,0.9662264545403272,3.8286303904666856,0.0807085241933042,0.3652340811728291,97.2,0.8,2.0,,,0.0050540556674813,unknown,no preparation stated in UNSODA or GSHP,0.0912490633948856,0.3660735268164551,0.8871972477822877,3.620616186496357,0.979999999999955,0.0048943240212096
UNSODA_2202,UNSODA_P220,sand,0.4750973433096114,7.821844894861405,2.6199574441661397e-12,0.2558336609750059,97.2,0.8,2.0,,,0.0050514383097006,unknown,no preparation stated in UNSODA or GSHP,2.6199574441661397e-12,0.2558336609750059,0.4750973433096114,7.821844894861405,0.8721529238380891,
UNSODA_2203,UNSODA_P220,sand,0.8556525017662213,3.086718584743621,1.429471496068201e-23,0.3707330225238524,97.2,0.8,2.0,,,0.0056984075717803,unknown,no preparation stated in UNSODA or GSHP,1.263072190490059e-10,0.3722477611278098,0.7205915810088731,2.817806994333524,0.9799999999380888,0.0053513009087795
UNSODA_2210,UNSODA_P221,sand,1.3864622779002809,2.0934178052491013,0.0595123278204772,0.9975135307843868,92.7,3.4999999999999996,3.8,10.583333333333334,50.0,0.0021381639333918,disturbed,UNSODA lab comment: packed or disturbed samples,0.0594749131020935,0.6657735055526808,0.9375534283091576,5.420062603121626,0.2011308482141847,0.0021356637655556
UNSODA_2211,UNSODA_P221,sand,0.1766456783407514,3.4973201619352463,0.0625812929858581,0.1335048446498542,92.7,3.4999999999999996,3.8,19.333333333333332,50.0,0.0028880713848299,disturbed,UNSODA lab comment: packed or disturbed samples,0.0629519342086673,0.1020391080270866,0.1493257895112795,10.999999999972667,0.2164880413862632,0.0028139534762226
UNSODA_2213,UNSODA_P221,sand,0.071705999710333,9.55102381345028,0.0791290985032954,0.1083984861714991,92.7,3.4999999999999996,3.8,15.375,50.0,0.0005665373043321,disturbed,UNSODA lab comment: packed or disturbed samples,0.0781404822731857,0.1081567874144144,0.0765221992756553,10.999999674399952,0.5346319534905308,0.00053030963717
UNSODA_2320,UNSODA_P232,loam,3.2686808831386513,1.062377455548402,5.400455424205579e-22,0.3230594231949874,40.860465116279066,44.139534883720934,15.0,0.4166666666666667,15.0,0.0040986378461092,undisturbed,UNSODA lab comment: undisturbed samples,2.8061609388789567e-10,0.3229851696874943,3.066859931751859,1.010000000000865,0.0626160704685337,0.0040367773820792
UNSODA_2321,UNSODA_P232,loam,1.0557039387579792,1.1694798763592034,0.2138158185731375,0.3716909881528369,44.25581395348837,35.744186046511636,20.0,0.2083333333333333,45.0,0.0017149686841242,undisturbed,UNSODA lab comment: undisturbed samples,0.2615547121986976,0.3715273995589829,0.5271836493806672,1.010000000000005,0.3582923274492993,0.0016057207976415
UNSODA_2340,UNSODA_P234,clay,0.4276816184188047,1.189682165430277,0.2359699457266886,0.5086294737824719,35.302325581395344,15.697674418604656,49.0,3.625,30.0,0.0025948921714745,undisturbed,UNSODA lab comment: undisturbed samples,4.317142373235832e-21,0.5076356222381158,0.7563269857937663,1.78201669262613,0.0413943022012488,0.0022062116502754
UNSODA_2341,UNSODA_P234,sandy clay loam,0.3845612082460988,1.264108901222473,0.1824308835814604,0.3999474115248057,49.11627906976744,20.883720930232556,30.0,0.875,52.5,0.0033559951906852,undisturbed,UNSODA lab comment: undisturbed samples,6.090825773933126e-05,0.398047787291783,0.7373879748237121,2.3766504339488868,0.0402643067677341,0.0027304758581445
UNSODA_2342,UNSODA_P234,sand,0.2883714074510258,2.732399611701312,0.0900000009999998,0.3375053565392147,97.6046511627907,2.395348837209302,0.0,3.3333333333333335,75.0,0.0070858663773145,undisturbed,UNSODA lab comment: undisturbed samples,0.0869599903433719,0.3335385754904053,0.4151101752009558,10.999999827233768,0.1084442057543967,0.0051021344638545
UNSODA_2350,UNSODA_P235,clay,0.4427170103329976,1.800932921595622,0.4566844907883209,0.5548938223557616,15.16279069767441,39.83720930232559,45.0,0.3333333333333333,40.0,0.0009632407311799,undisturbed,UNSODA lab comment: undisturbed samples,0.4465846199983885,0.5539781009237713,0.671959628101108,2.6231048495602662,0.1967663453024872,0.0002005786397498
UNSODA_2351,UNSODA_P235,silt loam,0.8252473603995804,1.059766310791649,0.0041946810574144,0.4861857171912274,29.97674418604651,54.02325581395348,16.0,0.0416666666666666,62.5,0.0030629074969419,undisturbed,UNSODA lab comment: undisturbed samples,2.1431162913167757e-46,0.4851658822553941,1.3175218918895135,2.294119997775214,0.0224029648992963,0.0028331797933475
